dataset_name;projection_name;n_components;trustworthiness;continuity;shepard_correlation;normalized_stress
Reuters;SPE;2;0.65675043;0.64942745;0.39341700;0.16533749
Reuters;SPE;3;0.70958648;0.68913124;0.45241507;0.09984947
Reuters;T-SVD;2;0.79623233;0.81686419;0.72572667;0.51189672
Reuters;T-SVD;3;0.82821468;0.83428594;0.72678658;0.46198914
Reuters;TSNE;2;0.97374768;0.96553776;0.60891160;806.15777723
Reuters;TSNE;3;0.97993033;0.97198658;0.61294781;1081.83252817
Reuters;UMAP;2;0.94128115;0.96868092;0.70415968;81.68330214
Reuters;UMAP;3;0.95892552;0.97058768;0.72758826;48.36915382
Software;AE;2;0.97553992;0.97861187;0.44924546;15.20906394
Software;AE;3;0.99220233;0.98588591;0.59085265;6.50111748
Software;DM;2;0.89005892;0.96582332;0.86016980;0.80978373
Software;DM;3;0.93846840;0.96935328;0.86646108;0.80745164
Software;F-ICA;2;0.88489069;0.98358401;0.89403610;0.93323825
Software;F-ICA;3;0.96187580;0.99328761;0.91450584;0.91732188
Software;FA;2;0.81502619;0.95610658;0.71499757;3.81538616
Software;FA;3;0.90619248;0.98209718;0.76873367;6.57879351
Software;G-RP;2;0.65227172;0.93602688;0.48271088;0.21488324
Software;G-RP;3;0.84596992;0.97123247;0.64870641;0.14487304
Software;H-LLE;2;0.65103083;0.79349427;0.49133511;0.99442418
Software;H-LLE;3;0.81478482;0.93656241;0.73719763;0.99114074
Software;I-PCA;2;0.88242754;0.98329085;0.90534766;0.08185963
Software;I-PCA;3;0.96224974;0.99420254;0.95605727;0.03082055
Software;ISO;2;0.88666236;0.98103844;0.76392853;5.93512202
Software;ISO;3;0.96007859;0.99255264;0.80221767;6.28303968
Software;K-PCA-P;2;0.88034712;0.98197853;0.88936803;0.26994851
Software;K-PCA-P;3;0.96157793;0.99404040;0.94104559;0.21080717
Software;K-PCA-R;2;0.88372730;0.98234429;0.89687091;0.48572732
Software;K-PCA-R;3;0.96231120;0.99420063;0.95392747;0.43230995
Software;K-PCA-S;2;0.88945730;0.98202475;0.89071962;0.78189803
Software;K-PCA-S;3;0.96155882;0.99405226;0.95252876;0.75373443
Software;L-LTSA;2;0.60499329;0.76260942;0.24629311;0.96511314
Software;L-LTSA;3;0.62421668;0.85120092;0.33219854;0.94407823
Software;L-MDS;2;0.88169945;0.98235653;0.89810944;0.08379767
Software;L-MDS;3;0.96208651;0.99426147;0.95575756;0.03105925
Software;LE;2;0.89002543;0.97615912;0.67547071;0.99743020
Software;LE;3;0.95064246;0.98445793;0.68020753;0.99682982
Software;LLE;2;0.83699305;0.95466544;0.55504501;0.97393830
Software;LLE;3;0.81861126;0.95433276;0.42220593;0.94538948
Software;LPP;2;0.79382137;0.92325479;0.80031812;0.99605668
Software;LPP;3;0.82426572;0.95021546;0.80170119;0.99557315
Software;LTSA;2;0.82930590;0.90413876;0.58647206;0.99160572
Software;LTSA;3;0.76439803;0.82629078;0.51402536;0.98608208
Software;M-LLE;2;0.87895492;0.95629927;0.52359868;0.96010182
Software;M-LLE;3;0.86779416;0.95069340;0.59434054;0.93066108
Software;MDS;2;0.90180062;0.95494872;0.94322648;0.03332345
Software;MDS;3;0.97089758;0.99343610;0.97875882;0.00905445
Software;N-MDS;2;0.49982494;0.50008752;0.00940941;0.34803761
Software;N-MDS;3;0.50039281;0.50019908;-0.00088591;0.29257418
Software;NMF;2;0.82472909;0.95537444;0.79345447;0.76809972
Software;NMF;3;0.92461302;0.98136837;0.86697329;0.70610802
Software;NPE;2;0.77905186;0.94748291;0.66420286;0.98851680
Software;NPE;3;0.85403190;0.96548331;0.79076736;0.97888466
Software;PCA;2;0.88473051;0.98234105;0.89816323;0.08313017
Software;PCA;3;0.96214574;0.99421464;0.95623137;0.03072608
Software;S-PCA;2;0.88688869;0.98017008;0.89339898;0.08903545
Software;S-PCA;3;0.96230609;0.99407193;0.94884448;0.03395993
Software;S-RP;2;0.81361831;0.95017911;0.67485691;0.19614720
Software;S-RP;3;0.84830743;0.96340845;0.69425365;0.23033601
Software;SPE;2;0.89660965;0.95764438;0.93110406;0.21869556
Software;SPE;3;0.96363396;0.98947872;0.97264083;0.20073060
Software;T-SVD;2;0.82793377;0.96834897;0.83609522;0.14360829
Software;T-SVD;3;0.92403115;0.99063367;0.91867570;0.05781764
Software;TSNE;2;0.99617620;0.98958396;0.61273265;3162.50484577
Software;TSNE;3;0.99772135;0.99162961;0.58755428;4151.27731003
Software;UMAP;2;0.97737129;0.99184151;0.57976239;299.72056314
Software;UMAP;3;0.99118887;0.99387451;0.63464982;259.35379129
Wine;AE;2;0.94371787;0.96219587;0.67180331;1.91895140
Wine;AE;3;0.97883139;0.97893738;0.76721102;1.78154624
Wine;DM;2;0.86639102;0.97276735;0.80498004;0.96407777
Wine;DM;3;0.94782093;0.98655382;0.85279722;0.96255994
Wine;F-ICA;2;0.86714063;0.97461566;0.83845358;0.90371874
Wine;F-ICA;3;0.94701091;0.99070753;0.92275048;0.88002341
